parent_class_p	log2FC_p	padj_p	parent_class_h	log2FC_h	padj_h	gene_id	classification
625	equal	0.862018732532314	0.0705863077438569	equal	0.198585643773216	0.960695249466371	lcl|NC_030664.1_cds_XP_017623621.1_826	PEI eq
626	equal	-0.700739692875544	0.00347830143195515	equal	0.232009469174104	0.898247465309741	lcl|NC_030664.1_cds_XP_017628452.1_827	PEI eq
633	equal	-0.490027929946734	0.229309995292662	equal	3.94179044485761	0.185749528166173	lcl|NC_030664.1_cds_XP_017613496.1_837	PEI eq
634	equal	0.0377532230339683	0.945466078466434	equal	0.383190668107551	0.76834033776064	lcl|NC_030664.1_cds_XP_017611490.1_839	PEI eq
638	equal	-0.48552986845389	0.240076843312357	equal	-0.466302290209387	0.752040383926922	lcl|NC_030664.1_cds_XP_017610747.1_846	PEI eq
640	equal	-0.210408451718042	0.574972406832989	equal	0.177989076913995	0.88798570849973	lcl|NC_030664.1_cds_XP_017606806.1_856	PEI eq
641	equal	0.775314779561573	0.0610483627789836	G_arboreum	6.97540210196883	0.000837393731390901	lcl|NC_030664.1_cds_XP_017640284.1_857	HEBi
642	equal	0.430799662851366	0.243395719096379	equal	-0.295250908762528	0.808280019766723	lcl|NC_030664.1_cds_XP_017609082.1_858	PEI eq
654	equal	-0.430207270548268	0.448676966861317	equal	-4.27340494670374	0.132773268269897	lcl|NC_030664.1_cds_XP_017641421.1_873	PEI eq
672	equal	0.706498632730506	0.234970979861482	equal	-0.296072992517796	0.94580813626897	lcl|NC_030664.1_cds_XP_017607320.1_895	PEI eq
673	equal	0.425558388361468	0.329731718737078	equal	0.451083907157785	0.705029816213239	lcl|NC_030664.1_cds_XP_017607359.1_899	PEI eq
677	equal	-0.465912985690279	0.231670240301882	equal	-0.393173325198244	0.936600375795997	lcl|NC_030664.1_cds_XP_017604660.1_904	PEI eq
